"date","area_name","area_code","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"2020-02-15","City of London","E09000001",-5,-9,-12,-11,NA,NA
"2020-02-16","City of London","E09000001",-1,-21,-23,-13,NA,NA
"2020-02-17","City of London","E09000001",-3,-2,4,-1,-4,NA
"2020-02-18","City of London","E09000001",-2,-2,-1,-2,-2,NA
"2020-02-19","City of London","E09000001",-7,-4,5,0,-4,NA
"2020-02-20","City of London","E09000001",-7,-7,-11,-3,-3,NA
"2020-02-21","City of London","E09000001",-3,-2,5,-3,-4,NA
"2020-02-22","City of London","E09000001",4,5,11,-3,NA,NA
"2020-02-23","City of London","E09000001",8,1,-4,-13,NA,NA
"2020-02-24","City of London","E09000001",-7,-12,-13,-1,2,NA
"2020-02-25","City of London","E09000001",-1,1,-5,-1,3,NA
"2020-02-26","City of London","E09000001",0,-3,1,-3,6,NA
"2020-02-27","City of London","E09000001",0,-4,-9,-1,4,NA
"2020-02-28","City of London","E09000001",-2,-6,-12,0,0,NA
"2020-02-29","City of London","E09000001",11,3,0,-4,NA,NA
"2020-03-01","City of London","E09000001",22,14,9,10,NA,NA
"2020-03-02","City of London","E09000001",-2,0,-25,-4,4,NA
"2020-03-03","City of London","E09000001",-5,-1,-11,-7,3,NA
"2020-03-04","City of London","E09000001",-6,-5,-7,-5,4,NA
"2020-03-05","City of London","E09000001",-14,-17,-25,-2,1,NA
"2020-03-06","City of London","E09000001",-4,2,5,-5,3,NA
"2020-03-07","City of London","E09000001",2,4,12,-8,NA,NA
"2020-03-08","City of London","E09000001",2,-4,-4,-17,NA,NA
"2020-03-09","City of London","E09000001",-10,-5,-8,-8,-6,NA
"2020-03-10","City of London","E09000001",-14,-5,-17,-10,-2,NA
"2020-03-11","City of London","E09000001",-17,-8,-10,-15,-5,NA
"2020-03-12","City of London","E09000001",-22,-11,-23,-20,-15,NA
"2020-03-13","City of London","E09000001",-29,-15,-30,-27,-23,NA
"2020-03-14","City of London","E09000001",-26,-15,-27,-28,NA,NA
"2020-03-15","City of London","E09000001",-32,-24,-35,-38,NA,NA
"2020-03-16","City of London","E09000001",-40,-20,-42,-40,-38,NA
"2020-03-17","City of London","E09000001",-62,-40,-60,-56,-54,NA
"2020-03-18","City of London","E09000001",-73,-46,-65,-66,-62,NA
"2020-03-19","City of London","E09000001",-78,-47,-74,-70,-63,NA
"2020-03-20","City of London","E09000001",-82,-54,-77,-73,-64,NA
"2020-03-21","City of London","E09000001",-86,-53,-86,-78,NA,NA
"2020-03-22","City of London","E09000001",-85,-67,-86,-81,NA,NA
"2020-03-23","City of London","E09000001",-87,-70,-82,-79,-76,NA
"2020-03-24","City of London","E09000001",-94,-79,-88,-87,-80,NA
"2020-03-25","City of London","E09000001",-95,-82,-88,-90,-85,NA
"2020-03-26","City of London","E09000001",-96,-83,-91,-92,-85,NA
"2020-03-27","City of London","E09000001",-96,-83,-91,-92,-84,NA
"2020-03-28","City of London","E09000001",-95,-74,-93,-92,NA,NA
"2020-03-29","City of London","E09000001",-95,-80,-93,-91,NA,NA
"2020-03-30","City of London","E09000001",-95,-84,-90,-93,-82,NA
"2020-03-31","City of London","E09000001",-96,-84,-92,-93,-85,NA
"2020-04-01","City of London","E09000001",-96,-85,-92,-93,-85,NA
"2020-04-02","City of London","E09000001",-97,-85,-93,-93,-86,NA
"2020-04-03","City of London","E09000001",-97,-84,-92,-93,-83,NA
"2020-04-04","City of London","E09000001",-95,-74,-91,-92,NA,NA
"2020-04-05","City of London","E09000001",-93,-75,-87,-90,NA,NA
"2020-04-06","City of London","E09000001",-96,-85,-92,-93,-80,NA
"2020-04-07","City of London","E09000001",-97,-84,-90,-93,-87,NA
"2020-04-08","City of London","E09000001",-97,-84,-90,-93,-87,NA
"2020-04-09","City of London","E09000001",-97,-82,-90,-93,-84,NA
"2020-04-10","City of London","E09000001",-98,-88,-93,-96,-89,NA
"2020-04-11","City of London","E09000001",-95,-72,-89,-92,NA,NA
"2020-04-12","City of London","E09000001",-97,-82,-88,-91,NA,NA
"2020-04-13","City of London","E09000001",-99,-91,-96,-97,NA,NA
"2020-04-14","City of London","E09000001",-97,-83,-91,-93,-83,NA
"2020-04-15","City of London","E09000001",-97,-83,-91,-93,-84,NA
"2020-04-16","City of London","E09000001",-97,-84,-93,-93,-82,NA
"2020-04-17","City of London","E09000001",-97,-83,-93,-93,-82,NA
"2020-04-18","City of London","E09000001",-96,-74,-93,-92,NA,NA
"2020-04-19","City of London","E09000001",-95,-72,-87,-90,NA,NA
"2020-04-20","City of London","E09000001",-96,-84,-91,-92,-81,NA
"2020-04-21","City of London","E09000001",-97,-84,-90,-93,-83,NA
"2020-04-22","City of London","E09000001",-97,-83,-90,-93,-84,NA
"2020-04-23","City of London","E09000001",-97,-84,-91,-93,-84,NA
"2020-04-24","City of London","E09000001",-97,-82,-90,-92,-80,NA
"2020-04-25","City of London","E09000001",-95,-71,-88,-90,NA,NA
"2020-04-26","City of London","E09000001",-95,-72,-82,-88,NA,NA
"2020-04-27","City of London","E09000001",-96,-83,-91,-92,-80,NA
"2020-04-28","City of London","E09000001",-97,-87,-93,-92,-84,NA
"2020-04-29","City of London","E09000001",-97,-83,-91,-92,-84,NA
"2020-04-30","City of London","E09000001",-98,-85,-92,-92,-84,NA
"2020-05-01","City of London","E09000001",-97,-82,-89,-91,-82,NA
"2020-05-02","City of London","E09000001",-95,-71,-84,-89,NA,NA
"2020-05-03","City of London","E09000001",-97,-75,-87,-89,NA,NA
"2020-05-04","City of London","E09000001",-97,-83,-88,-91,-80,NA
"2020-05-05","City of London","E09000001",-97,-84,-88,-91,-84,NA
"2020-05-06","City of London","E09000001",-97,-82,-87,-91,-81,NA
"2020-05-07","City of London","E09000001",-97,-82,-87,-91,-80,NA
"2020-05-08","City of London","E09000001",-98,-87,-84,-94,-83,NA
"2020-05-09","City of London","E09000001",-95,-71,-73,-88,NA,NA
"2020-05-10","City of London","E09000001",-97,-78,-85,-88,NA,NA
"2020-05-11","City of London","E09000001",-97,-84,-89,-90,-82,NA
"2020-05-12","City of London","E09000001",-97,-83,-87,-91,-81,NA
"2020-05-13","City of London","E09000001",-97,-83,-89,-91,-79,NA
"2020-05-14","City of London","E09000001",-97,-83,-87,-91,-82,NA
"2020-05-15","City of London","E09000001",-97,-80,-82,-90,-80,NA
"2020-05-16","City of London","E09000001",-95,-71,-76,-87,NA,NA
"2020-05-17","City of London","E09000001",-93,-71,-65,-84,NA,NA
"2020-05-18","City of London","E09000001",-96,-82,-83,-89,-79,NA
"2020-05-19","City of London","E09000001",-97,-80,-82,-89,-82,NA
"2020-05-20","City of London","E09000001",-97,-81,-78,-89,-77,NA
"2020-05-21","City of London","E09000001",-97,-80,-82,-89,-80,NA
"2020-05-22","City of London","E09000001",-97,-79,-81,-88,-77,NA
"2020-05-23","City of London","E09000001",-95,-70,-78,-82,NA,NA
"2020-05-24","City of London","E09000001",-94,-71,-66,-79,NA,NA
"2020-05-25","City of London","E09000001",-97,-86,-72,-91,-85,NA
"2020-05-26","City of London","E09000001",-96,-80,-80,-88,-80,NA
"2020-05-27","City of London","E09000001",-96,-81,-79,-88,-77,NA
"2020-05-28","City of London","E09000001",-96,-79,-81,-88,-78,NA
"2020-05-29","City of London","E09000001",-96,-77,-77,-87,-76,NA
"2020-05-30","City of London","E09000001",-94,-66,-63,-81,NA,NA
"2020-05-31","City of London","E09000001",-92,-70,-60,-80,NA,NA
"2020-06-01","City of London","E09000001",-95,-80,-78,-87,-79,NA
"2020-06-02","City of London","E09000001",-96,-79,-78,-87,-78,NA
"2020-06-03","City of London","E09000001",-96,-81,-84,-87,-81,NA
"2020-06-04","City of London","E09000001",-97,-80,-85,-88,-76,NA
"2020-06-05","City of London","E09000001",-96,-78,-78,-86,-77,NA
"2020-06-06","City of London","E09000001",-95,-72,-82,-82,NA,NA
"2020-06-07","City of London","E09000001",-93,-70,-68,-80,NA,NA
"2020-06-08","City of London","E09000001",-95,-79,-78,-86,-75,NA
"2020-06-09","City of London","E09000001",-95,-78,-76,-86,-75,NA
"2020-06-10","City of London","E09000001",-96,-80,-83,-87,-77,NA
"2020-06-11","City of London","E09000001",-96,-79,-81,-87,-76,NA
"2020-06-12","City of London","E09000001",-96,-78,-80,-85,-72,NA
"2020-06-13","City of London","E09000001",-93,-61,-58,-74,NA,NA
"2020-06-14","City of London","E09000001",-92,-68,-56,-78,NA,NA
"2020-06-15","City of London","E09000001",-93,-76,-76,-84,-74,NA
"2020-06-16","City of London","E09000001",-94,-75,-76,-85,-75,NA
"2020-06-17","City of London","E09000001",-94,-77,-79,-85,-75,NA
"2020-06-18","City of London","E09000001",-95,-76,-82,-86,-77,NA
"2020-06-19","City of London","E09000001",-94,-71,-78,-83,-71,NA
"2020-06-20","City of London","E09000001",-90,-50,-63,-73,NA,NA
"2020-06-21","City of London","E09000001",-90,-57,-66,-76,NA,NA
"2020-06-22","City of London","E09000001",-93,-74,-70,-83,-76,NA
"2020-06-23","City of London","E09000001",-94,-74,-70,-84,-76,NA
"2020-06-24","City of London","E09000001",-94,-72,-70,-83,-73,NA
"2020-06-25","City of London","E09000001",-94,-73,-73,-82,-75,NA
"2020-06-26","City of London","E09000001",-94,-71,-72,-81,-74,NA
"2020-06-27","City of London","E09000001",-92,-57,-77,-76,NA,NA
"2020-06-28","City of London","E09000001",-90,-52,-64,-73,NA,NA
"2020-06-29","City of London","E09000001",-93,-74,-74,-82,-74,NA
"2020-06-30","City of London","E09000001",-93,-76,-78,-83,-74,NA
"2020-07-01","City of London","E09000001",-92,-75,-74,-82,-71,NA
"2020-07-02","City of London","E09000001",-93,-75,-78,-83,-74,NA
"2020-07-03","City of London","E09000001",-92,-71,-69,-80,-72,NA
"2020-07-04","City of London","E09000001",-85,-54,-69,-68,NA,NA
"2020-07-05","City of London","E09000001",-84,-52,-56,-66,NA,NA
"2020-07-06","City of London","E09000001",-89,-74,-70,-80,-72,NA
"2020-07-07","City of London","E09000001",-90,-75,-72,-81,-74,NA
"2020-07-08","City of London","E09000001",-91,-75,-75,-81,-71,NA
"2020-07-09","City of London","E09000001",-91,-74,-74,-80,-71,NA
"2020-07-10","City of London","E09000001",-90,-70,-66,-77,-69,NA
"2020-07-11","City of London","E09000001",-84,-51,-49,-64,NA,NA
"2020-07-12","City of London","E09000001",-83,-49,-43,-63,NA,NA
"2020-07-13","City of London","E09000001",-89,-74,-60,-79,-68,NA
"2020-07-14","City of London","E09000001",-89,-73,-65,-80,-72,NA
"2020-07-15","City of London","E09000001",-88,-73,-64,-79,-69,NA
"2020-07-16","City of London","E09000001",-88,-73,-67,-80,-69,NA
"2020-07-17","City of London","E09000001",-88,-69,-58,-77,-68,NA
"2020-07-18","City of London","E09000001",-80,-49,-44,-62,NA,NA
"2020-07-19","City of London","E09000001",-81,-53,-54,-65,NA,NA
"2020-07-20","City of London","E09000001",-87,-72,-59,-79,-68,NA
"2020-07-21","City of London","E09000001",-87,-71,-60,-78,-68,NA
"2020-07-22","City of London","E09000001",-87,-70,-57,-78,-67,NA
"2020-07-23","City of London","E09000001",-88,-71,-61,-79,-67,NA
"2020-07-24","City of London","E09000001",-87,-69,-55,-76,-68,NA
"2020-07-25","City of London","E09000001",-79,-53,-58,-61,NA,NA
"2020-07-26","City of London","E09000001",-76,-49,-43,-59,NA,NA
"2020-07-27","City of London","E09000001",-87,-74,-67,-78,-69,NA
"2020-07-28","City of London","E09000001",-87,-71,-61,-78,-70,NA
"2020-07-29","City of London","E09000001",-86,-70,-55,-77,-69,NA
"2020-07-30","City of London","E09000001",-85,-71,-60,-77,-68,NA
"2020-07-31","City of London","E09000001",-85,-70,-58,-75,-70,NA
"2020-08-01","City of London","E09000001",-75,-49,-49,-58,NA,NA
"2020-08-02","City of London","E09000001",-75,-45,-45,-57,NA,NA
"2020-08-03","City of London","E09000001",-83,-72,-67,-77,-68,NA
"2020-08-04","City of London","E09000001",-83,-71,-59,-77,-71,NA
"2020-08-05","City of London","E09000001",-81,-70,-57,-76,-67,NA
"2020-08-06","City of London","E09000001",-83,-70,-59,-77,-69,NA
"2020-08-07","City of London","E09000001",-83,-68,-58,-75,-68,NA
"2020-08-08","City of London","E09000001",-74,-49,-50,-62,NA,NA
"2020-08-09","City of London","E09000001",-73,-47,-48,-61,NA,NA
"2020-08-10","City of London","E09000001",-80,-71,-58,-75,-70,NA
"2020-08-11","City of London","E09000001",-80,-69,-57,-76,-70,NA
"2020-08-12","City of London","E09000001",-80,-68,-56,-76,-70,NA
"2020-08-13","City of London","E09000001",-83,-69,-64,-77,-71,NA
"2020-08-14","City of London","E09000001",-83,-70,-62,-75,-67,NA
"2020-08-15","City of London","E09000001",-71,-50,-48,-57,NA,NA
"2020-08-16","City of London","E09000001",-70,-47,-44,-58,NA,NA
"2020-08-17","City of London","E09000001",-79,-70,-58,-75,NA,NA
"2020-08-18","City of London","E09000001",-78,-69,-56,-76,NA,NA
"2020-08-19","City of London","E09000001",-80,-71,-64,-75,NA,NA
"2020-08-20","City of London","E09000001",-81,-68,-55,-75,NA,NA
"2020-08-21","City of London","E09000001",-82,-67,-62,-74,NA,NA
"2020-08-22","City of London","E09000001",-69,NA,NA,-53,NA,NA
"2020-08-23","City of London","E09000001",-68,NA,NA,-54,NA,NA
"2020-08-24","City of London","E09000001",-77,-69,-62,-74,NA,NA
"2020-08-25","City of London","E09000001",-78,-69,-67,-75,NA,NA
"2020-08-26","City of London","E09000001",-76,-66,-60,-73,NA,NA
"2020-08-27","City of London","E09000001",-81,-69,-73,-75,NA,NA
"2020-08-28","City of London","E09000001",-80,-66,-70,-72,NA,NA
"2020-08-29","City of London","E09000001",-66,NA,NA,-51,NA,NA
"2020-08-30","City of London","E09000001",-60,NA,NA,-51,NA,NA
"2020-08-31","City of London","E09000001",-85,-77,-65,-81,NA,NA
"2020-09-01","City of London","E09000001",-79,-67,-64,-73,NA,NA
"2020-09-02","City of London","E09000001",-79,-66,-64,-73,NA,NA
"2020-09-03","City of London","E09000001",-79,-67,-69,-74,NA,NA
"2020-09-04","City of London","E09000001",-78,-65,-65,-71,NA,NA
"2020-09-05","City of London","E09000001",-62,NA,NA,-54,NA,NA
"2020-09-06","City of London","E09000001",-60,NA,NA,-54,NA,NA
"2020-09-07","City of London","E09000001",-76,-68,-72,-72,NA,NA
"2020-09-08","City of London","E09000001",-75,-64,-65,-72,NA,NA
"2020-09-09","City of London","E09000001",-76,-64,-62,-71,NA,NA
"2020-09-10","City of London","E09000001",-75,-63,-64,-71,NA,NA
"2020-09-11","City of London","E09000001",-76,-63,-68,-68,-65,NA
"2020-09-12","City of London","E09000001",-61,-44,-63,-56,NA,NA
"2020-09-13","City of London","E09000001",-62,-40,-60,-58,NA,NA
"2020-09-14","City of London","E09000001",-75,-65,-65,-71,-64,NA
"2020-09-15","City of London","E09000001",-74,-62,-66,-69,-65,NA
"2020-09-16","City of London","E09000001",-74,-63,-62,-70,-65,NA
"2020-09-17","City of London","E09000001",-74,-63,-64,-71,-67,NA
"2020-09-18","City of London","E09000001",-75,-63,-68,-68,-61,NA
"2020-09-19","City of London","E09000001",-58,-39,-59,-54,NA,NA
"2020-09-20","City of London","E09000001",-60,-40,-57,-55,NA,NA
"2020-09-21","City of London","E09000001",-73,-66,-67,-71,-64,NA
"2020-09-22","City of London","E09000001",-72,-62,-66,-70,-63,NA
"2020-09-23","City of London","E09000001",-76,-67,-74,-72,-65,NA
"2020-09-24","City of London","E09000001",-77,-66,-77,-73,-64,NA
"2020-09-25","City of London","E09000001",-77,-65,-77,-69,-61,NA
"2020-09-26","City of London","E09000001",-58,-43,-67,-54,NA,NA
"2020-09-27","City of London","E09000001",-61,-43,-69,-56,NA,NA
"2020-09-28","City of London","E09000001",-75,-67,-73,-73,-66,NA
"2020-09-29","City of London","E09000001",-76,-66,-74,-72,-61,NA
"2020-09-30","City of London","E09000001",-76,-67,-77,-72,-63,NA
"2020-10-01","City of London","E09000001",-76,-64,-76,-73,-59,NA
"2020-10-02","City of London","E09000001",-80,-68,-80,-70,-62,NA
"2020-10-03","City of London","E09000001",-63,-40,-73,-55,NA,NA
"2020-10-04","City of London","E09000001",-65,-53,-78,-60,NA,NA
"2020-10-05","City of London","E09000001",-77,-66,-77,-73,-59,NA
"2020-10-06","City of London","E09000001",-77,-64,-78,-72,-62,NA
"2020-10-07","City of London","E09000001",-76,-63,-74,-73,-59,NA
"2020-10-08","City of London","E09000001",-77,-63,-77,-74,-61,NA
"2020-10-09","City of London","E09000001",-77,-64,-76,-70,-58,NA
"2020-10-10","City of London","E09000001",-57,-33,-64,-54,NA,NA
"2020-10-11","City of London","E09000001",-56,-32,-66,-54,NA,NA
"2020-10-12","City of London","E09000001",-77,-68,-78,-73,-60,NA
"2020-10-13","City of London","E09000001",-77,-67,-80,-73,-62,NA
"2020-10-14","City of London","E09000001",-76,-64,-77,-73,-61,NA
"2020-10-15","City of London","E09000001",-76,-63,-77,-73,-61,NA
"2020-10-16","City of London","E09000001",-76,-61,-74,-69,-58,NA
"2020-10-17","City of London","E09000001",-66,-39,-67,-59,NA,NA
"2020-10-18","City of London","E09000001",-64,-41,-67,-62,NA,NA
"2020-10-19","City of London","E09000001",-78,-66,-77,-75,-60,NA
"2020-10-20","City of London","E09000001",-79,-64,-76,-75,-63,NA
"2020-10-21","City of London","E09000001",-81,-66,-81,-75,-61,NA
"2020-10-22","City of London","E09000001",-78,-63,-76,-75,-61,NA
"2020-10-23","City of London","E09000001",-78,-62,-74,-72,-57,NA
"2020-10-24","City of London","E09000001",-64,-39,-76,-56,NA,NA
"2020-10-25","City of London","E09000001",-60,-37,-74,-60,NA,NA
"2020-10-26","City of London","E09000001",-77,-66,-73,-75,-62,NA
"2020-10-27","City of London","E09000001",-79,-64,-79,-75,-61,NA
"2020-10-28","City of London","E09000001",-78,-63,-75,-74,-63,NA
"2020-10-29","City of London","E09000001",-80,-64,-79,-75,-61,NA
"2020-10-30","City of London","E09000001",-78,-61,-74,-70,-60,NA
"2020-10-31","City of London","E09000001",-63,-37,-71,-58,NA,NA
"2020-11-01","City of London","E09000001",-58,-39,-67,-62,NA,NA
"2020-11-02","City of London","E09000001",-75,-64,-82,-74,-59,NA
"2020-11-03","City of London","E09000001",-73,-60,-76,-72,-59,NA
"2020-11-04","City of London","E09000001",-70,-57,-73,-70,-58,NA
"2020-11-05","City of London","E09000001",-91,-74,-88,-81,-66,NA
"2020-11-06","City of London","E09000001",-91,-74,-88,-80,-66,NA
"2020-11-07","City of London","E09000001",-88,-62,-83,-78,NA,NA
"2020-11-08","City of London","E09000001",-86,-69,-84,-77,NA,NA
"2020-11-09","City of London","E09000001",-89,-75,-87,-80,-66,NA
"2020-11-10","City of London","E09000001",-90,-73,-84,-80,-67,NA
"2020-11-11","City of London","E09000001",-91,-72,-86,-81,-66,NA
"2020-11-12","City of London","E09000001",-92,-73,-85,-80,-68,NA
"2020-11-13","City of London","E09000001",-92,-71,-85,-79,-65,NA
"2020-11-14","City of London","E09000001",-91,-63,-88,-78,NA,NA
"2020-11-15","City of London","E09000001",-87,-65,-84,-78,NA,NA
"2020-11-16","City of London","E09000001",-90,-74,-85,-80,-65,NA
"2020-11-17","City of London","E09000001",-91,-72,-86,-80,-69,NA
"2020-11-18","City of London","E09000001",-91,-72,-84,-80,-65,NA
"2020-11-19","City of London","E09000001",-92,-74,-88,-81,-66,NA
"2020-11-20","City of London","E09000001",-92,-72,-89,-79,-64,NA
"2020-11-21","City of London","E09000001",-88,-56,-78,-71,NA,NA
"2020-11-22","City of London","E09000001",-85,-62,-74,-73,NA,NA
"2020-11-23","City of London","E09000001",-89,-74,-85,-80,-65,NA
"2020-11-24","City of London","E09000001",-90,-73,-86,-80,-67,NA
"2020-11-25","City of London","E09000001",-90,-75,-84,-79,-67,NA
"2020-11-26","City of London","E09000001",-91,-75,-87,-80,-68,NA
"2020-11-27","City of London","E09000001",-91,-74,-87,-79,-67,NA
"2020-11-28","City of London","E09000001",-87,-58,-78,-71,NA,NA
"2020-11-29","City of London","E09000001",-85,-66,-79,-72,NA,NA
"2020-11-30","City of London","E09000001",-89,-75,-87,-80,-64,NA
"2020-12-01","City of London","E09000001",-89,-72,-84,-79,-66,NA
"2020-12-02","City of London","E09000001",-85,-64,-83,-76,-61,NA
"2020-12-03","City of London","E09000001",-85,-65,-84,-76,-62,NA
"2020-12-04","City of London","E09000001",-83,-60,-76,-72,-54,NA
"2020-12-05","City of London","E09000001",-70,-25,-59,-57,NA,NA
"2020-12-06","City of London","E09000001",-71,-36,-62,-57,NA,NA
"2020-12-07","City of London","E09000001",-82,-64,-79,-75,-61,NA
"2020-12-08","City of London","E09000001",-82,-63,-79,-75,-62,NA
"2020-12-09","City of London","E09000001",-82,-62,-77,-74,-60,NA
"2020-12-10","City of London","E09000001",-83,-59,-77,-74,-61,NA
"2020-12-11","City of London","E09000001",-83,-57,-72,-71,-60,NA
"2020-12-12","City of London","E09000001",-70,-17,-62,-55,NA,NA
"2020-12-13","City of London","E09000001",-71,-38,-68,-63,NA,NA
"2020-12-14","City of London","E09000001",-82,-63,-77,-75,-65,NA
"2020-12-15","City of London","E09000001",-79,-56,-73,-73,-64,NA
"2020-12-16","City of London","E09000001",-88,-65,-84,-78,-64,NA
"2020-12-17","City of London","E09000001",-90,-63,-83,-79,-65,NA
"2020-12-18","City of London","E09000001",-90,-62,-84,-77,-64,NA
"2020-12-19","City of London","E09000001",-87,-38,-83,-71,NA,NA
"2020-12-20","City of London","E09000001",-88,-65,-86,-77,NA,NA
"2020-12-21","City of London","E09000001",-91,-72,-89,-85,-74,NA
"2020-12-22","City of London","E09000001",-93,-71,-90,-86,-77,NA
"2020-12-23","City of London","E09000001",-93,-72,-91,-88,-74,NA
"2020-12-24","City of London","E09000001",-96,-77,-93,-91,-77,NA
"2020-12-25","City of London","E09000001",-99,-97,-95,-99,-83,NA
"2020-12-26","City of London","E09000001",-96,-85,-91,-92,NA,NA
"2020-12-27","City of London","E09000001",-90,-75,-85,-82,NA,NA
"2020-12-28","City of London","E09000001",-97,-89,-93,-93,-82,NA
"2020-12-29","City of London","E09000001",-95,-83,-92,-89,-79,NA
"2020-12-30","City of London","E09000001",-95,-81,-91,-90,-73,NA
"2020-12-31","City of London","E09000001",-96,-82,-94,-91,-79,NA
"2021-01-01","City of London","E09000001",-98,-95,-95,-95,-83,NA
"2021-01-02","City of London","E09000001",-93,-73,-88,-85,NA,NA
"2021-01-03","City of London","E09000001",-90,-74,-87,-82,NA,NA
"2021-01-04","City of London","E09000001",-92,-77,-90,-85,-74,NA
"2021-01-05","City of London","E09000001",-93,-81,-91,-86,-73,NA
"2021-01-06","City of London","E09000001",-94,-80,-89,-87,-75,NA
"2021-01-07","City of London","E09000001",-94,-81,-91,-87,-73,NA
"2021-01-08","City of London","E09000001",-95,-80,-92,-86,-73,NA
"2021-01-09","City of London","E09000001",-92,-67,-87,-84,NA,NA
"2021-01-10","City of London","E09000001",-91,-75,-90,-85,NA,NA
"2021-01-11","City of London","E09000001",-93,-80,-91,-86,-73,NA
"2021-01-12","City of London","E09000001",-94,-80,-91,-87,-72,NA
"2021-01-13","City of London","E09000001",-94,-81,-92,-87,-73,NA
"2021-01-14","City of London","E09000001",-95,-82,-94,-88,-74,NA
"2021-01-15","City of London","E09000001",-95,-79,-90,-85,-70,NA
"2021-01-16","City of London","E09000001",-93,-71,-92,-86,NA,NA
"2021-01-17","City of London","E09000001",-89,-70,-85,-84,NA,NA
"2021-01-18","City of London","E09000001",-93,-78,-88,-85,-75,NA
"2021-01-19","City of London","E09000001",-94,-80,-89,-86,-76,NA
"2021-01-20","City of London","E09000001",-94,-81,-90,-87,-74,NA
"2021-01-21","City of London","E09000001",-95,-80,-90,-87,-75,NA
"2021-01-22","City of London","E09000001",-95,-77,-89,-85,-71,NA
"2021-01-23","City of London","E09000001",-92,-62,-85,-83,NA,NA
"2021-01-24","City of London","E09000001",-92,-77,-90,-87,NA,NA
"2021-01-25","City of London","E09000001",-93,-80,-89,-86,-76,NA
"2021-01-26","City of London","E09000001",-94,-80,-91,-86,-77,NA
"2021-01-27","City of London","E09000001",-94,-78,-91,-86,-76,NA
"2021-01-28","City of London","E09000001",-94,-79,-91,-86,-76,NA
"2021-01-29","City of London","E09000001",-95,-76,-90,-84,-74,NA
"2021-01-30","City of London","E09000001",-93,-72,-95,-83,NA,NA
"2021-01-31","City of London","E09000001",-89,-70,-88,-82,NA,NA
"2021-02-01","City of London","E09000001",-93,-78,-92,-84,-75,NA
"2021-02-02","City of London","E09000001",-93,-77,-90,-85,-75,NA
"2021-02-03","City of London","E09000001",-94,-77,-91,-86,-75,NA
"2021-02-04","City of London","E09000001",-94,-78,-91,-86,-74,NA
"2021-02-05","City of London","E09000001",-94,-73,-89,-84,-71,NA
"2021-02-06","City of London","E09000001",-92,-61,-88,-81,NA,NA
"2021-02-07","City of London","E09000001",-92,-78,-94,-83,NA,NA
"2021-02-08","City of London","E09000001",-93,-79,-92,-85,-75,NA
"2021-02-09","City of London","E09000001",-94,-78,-93,-86,-78,NA
"2021-02-10","City of London","E09000001",-94,-75,-91,-86,-76,NA
"2021-02-11","City of London","E09000001",-94,-77,-92,-86,-75,NA
"2021-02-12","City of London","E09000001",-94,-73,-91,-84,-75,NA
"2021-02-13","City of London","E09000001",-91,-58,-89,-78,NA,NA
"2021-02-14","City of London","E09000001",-88,-69,-88,-79,NA,NA
"2021-02-15","City of London","E09000001",-92,-75,-89,-84,-72,NA
"2021-02-16","City of London","E09000001",-93,-74,-91,-84,-76,NA
"2021-02-17","City of London","E09000001",-93,-73,-90,-84,-75,NA
"2021-02-18","City of London","E09000001",-94,-74,-89,-85,-75,NA
"2021-02-19","City of London","E09000001",-94,-72,-89,-83,-72,NA
"2021-02-20","City of London","E09000001",-88,-49,-73,-73,NA,NA
"2021-02-21","City of London","E09000001",-87,-63,-79,-77,NA,NA
"2021-02-22","City of London","E09000001",-92,-75,-89,-84,-73,NA
"2021-02-23","City of London","E09000001",-93,-73,-87,-83,-72,NA
"2021-02-24","City of London","E09000001",-92,-72,-87,-84,-74,NA
"2021-02-25","City of London","E09000001",-93,-74,-90,-85,-72,NA
"2021-02-26","City of London","E09000001",-93,-69,-85,-81,-70,NA
"2021-02-27","City of London","E09000001",-88,-49,-76,-74,NA,NA
"2021-02-28","City of London","E09000001",-86,-67,-82,-77,NA,NA
"2021-03-01","City of London","E09000001",-92,-73,-88,-83,-72,NA
"2021-03-02","City of London","E09000001",-92,-73,-88,-83,-73,NA
"2021-03-03","City of London","E09000001",-93,-75,-90,-84,-74,NA
"2021-03-04","City of London","E09000001",-93,-74,-89,-84,-71,NA
"2021-03-05","City of London","E09000001",-93,-71,-89,-82,-71,NA
"2021-03-06","City of London","E09000001",-89,-54,-82,-76,NA,NA
"2021-03-07","City of London","E09000001",-86,-63,-81,-75,NA,NA
"2021-03-08","City of London","E09000001",-91,-71,-87,-82,-70,NA
"2021-03-09","City of London","E09000001",-91,-71,-84,-82,-70,NA
"2021-03-10","City of London","E09000001",-93,-73,-89,-83,-72,NA
"2021-03-11","City of London","E09000001",-93,-71,-89,-83,-70,NA
"2021-03-12","City of London","E09000001",-93,-70,-89,-81,-69,NA
"2021-03-13","City of London","E09000001",-90,-49,-82,-76,NA,NA
"2021-03-14","City of London","E09000001",-87,-63,-81,-76,NA,NA
"2021-03-15","City of London","E09000001",-91,-71,-87,-81,-69,NA
"2021-03-16","City of London","E09000001",-92,-71,-86,-82,-71,NA
"2021-03-17","City of London","E09000001",-92,-71,-87,-81,-71,NA
